Epic;User Story Count;User Story;Description;Acceptance Criteria;Out of Scope;Test Cases
Registro y Creación de Nuevas Iniciativas;11_validacion_edicion_iniciativa;Como Usuario Operativo, necesito que el sistema valide los datos ingresados al editar los detalles de una iniciativa para evitar guardar información incompleta o incorrecta que pueda afectar el seguimiento y gestión de la iniciativa.;Esta historia asegura que al modificar los detalles de una iniciativa mediante el formulario de edición, el sistema valide campos obligatorios, formatos y rangos para impedir guardados erróneos o inconsistentes.;"- El formulario de edición valida en tiempo real o al intentar guardar los campos obligatorios.
- Campos como responsable, fecha límite y prioridad deben respetar formatos y valores permitidos.
- Si hay errores, se muestran mensajes claros indicando qué corregir.
- No se permite guardar hasta que todos los errores sean corregidos.
- La validación se aplica tanto en cliente como en servidor para seguridad.";"- Validación de datos durante creación de iniciativas.
- Validación de estado mediante Kanban.
- Edición masiva de iniciativas.";"- Dado que dejo el campo responsable vacío, cuando intento guardar, entonces recibo un mensaje de error y no se guarda.
- Dado que ingreso una fecha límite en formato inválido, cuando guardo, entonces aparece un mensaje de error.
- Dado que completo todos los campos correctamente, cuando guardo, entonces los cambios se aplican sin mensajes de error."
Visualización y Seguimiento Centralizado de Iniciativas;12_miembro_operaciones_ver_tabla_iniciativas;Como miembro del equipo de operaciones, necesito ver todas las iniciativas registradas en una tabla centralizada, para poder monitorear el estado y detalles de cada iniciativa rápidamente.;Permitir que el miembro del equipo de operaciones acceda a un dashboard donde todas las iniciativas estén visibles en una tabla con columnas relevantes como nombre, estado, prioridad, fecha límite, y responsable.;"- La tabla muestra todas las iniciativas registradas sin paginar más de 50 iniciativas por página.
- Las columnas incluyen: nombre de iniciativa, estado, prioridad, fecha límite, y responsable.
- Cada fila es seleccionable para ver detalles (sin salir de esta funcionalidad).
- La tabla se carga en menos de 3 segundos con hasta 1000 iniciativas.
- La vista es responsiva para pantallas de escritorio y tablets.";"- Actualización o modificación de iniciativas.
- Visualización de alertas o resumen de progreso.
- Funcionalidades de Kanban o edición de estados.";"- Dado que soy miembro del equipo de operaciones, cuando accedo al dashboard, entonces veo una tabla con todas las iniciativas actuales.
- Dado que la tabla tiene más de 50 iniciativas, cuando navego, entonces puedo cambiar de página.
- Dado que uso una tablet, cuando visualizo la tabla, entonces la información se adapta correctamente y es legible."
Visualización y Seguimiento Centralizado de Iniciativas;13_miembro_operaciones_filtrar_estado;Como miembro del equipo de operaciones, necesito filtrar las iniciativas por estado usando un filtro desplegable, para enfocar mi atención solo en las iniciativas con un estado específico.;Agregar un filtro en forma de menú desplegable que permita seleccionar uno o varios estados (Ej: En progreso, Completado, Pendiente) para mostrar solo las iniciativas que coinciden en la tabla.;"- El filtro muestra todos los estados posibles basados en los datos.
- Al seleccionar uno o varios estados, la tabla se actualiza inmediatamente para mostrar solo iniciativas con esos estados.
- Se puede limpiar el filtro para volver a mostrar todas las iniciativas.
- El filtro soporta selección múltiple.
- No se permite seleccionar estados inexistentes.";"- Modificación de estados de iniciativas.
- Filtros por otros campos diferentes al estado.";"- Dado que estoy en el dashboard, cuando selecciono el estado ""En progreso"", entonces la tabla muestra solo iniciativas con ese estado.
- Dado que selecciono múltiples estados, cuando aplico el filtro, entonces la tabla muestra iniciativas que tienen cualquiera de esos estados.
- Dado que limpio el filtro, cuando no hay estados seleccionados, entonces la tabla muestra todas las iniciativas."
Visualización y Seguimiento Centralizado de Iniciativas;14_miembro_operaciones_filtrar_prioridad;Como miembro del equipo de operaciones, necesito filtrar las iniciativas por prioridad usando un filtro desplegable, para poder priorizar mi trabajo según la urgencia o importancia de las iniciativas.;Incluir en el dashboard un filtro de prioridad que permita seleccionar una o varias prioridades (Ej: Alta, Media, Baja) para segmentar la tabla según las prioridades definidas.;"- El filtro muestra las prioridades disponibles en los datos.
- Permite seleccionar una o varias prioridades para filtrar la tabla.
- La tabla se actualiza en tiempo real al aplicar el filtro.
- Se puede limpiar el filtro para volver a mostrar todas las prioridades.
- No permite seleccionar prioridades inválidas o vacías.";"- Modificación de prioridades.
- Filtros combinados con otros campos (solo prioridad aquí).";"- Dado que selecciono prioridad ""Alta"", cuando aplico el filtro, entonces solo se muestran iniciativas con prioridad alta.
- Dado que selecciono varias prioridades, cuando aplico el filtro, entonces la tabla muestra iniciativas con cualquiera de esas prioridades.
- Dado que limpio el filtro, cuando no hay prioridades seleccionadas, entonces la tabla muestra todas las iniciativas."
Visualización y Seguimiento Centralizado de Iniciativas;15_miembro_operaciones_ordenar_columnas;Como miembro del equipo de operaciones, necesito ordenar las iniciativas en la tabla por columnas como fecha límite o prioridad, para identificar rápidamente las iniciativas más urgentes o importantes.;Permitir al usuario ordenar las columnas relevantes de la tabla (como fecha límite, prioridad, nombre) en orden ascendente o descendente al hacer clic en el encabezado de la columna.;"- Cada columna ordenable tiene un indicador visual de orden (flecha arriba/abajo).
- Al hacer clic en un encabezado, la tabla se ordena ascendente; al hacer clic nuevamente, descendente.
- La ordenación es estable y se aplica solo a la tabla visible.
- La ordenación funciona para fecha límite, prioridad, y nombre.
- La tabla mantiene la ordenación aplicada al navegar entre páginas.";"- Ordenación combinada con filtros avanzados.
- Ordenación fuera de las columnas especificadas.";"- Dado que hago clic en la columna ""Fecha límite"", cuando hago clic por primera vez, entonces la tabla se ordena de la fecha más próxima a la más lejana.
- Dado que hago clic nuevamente en la misma columna, cuando hago clic, entonces la tabla se ordena de la fecha más lejana a la más próxima.
- Dado que ordeno por prioridad, cuando hago clic en el encabezado, entonces la tabla se ordena por prioridad de mayor a menor o viceversa."
Visualización y Seguimiento Centralizado de Iniciativas;16_lider_operaciones_ver_tabla_iniciativas;Como líder del equipo de operaciones, necesito ver todas las iniciativas registradas en una tabla centralizada, para supervisar y analizar el portafolio completo de iniciativas bajo mi responsabilidad.;Facilitar al líder del equipo de operaciones acceso a una tabla que muestre todas las iniciativas con columnas relevantes, similar a la vista del miembro del equipo, pero con capacidad para validar integridad visual y accesibilidad.;"- La tabla muestra todas las iniciativas actuales con las columnas: nombre, estado, prioridad, fecha límite, responsable.
- La tabla soporta paginación y carga rápida.
- La vista es responsiva y accesible.
- El líder puede seleccionar filas para ver detalles, sin posibilidad de editar en esta funcionalidad.
- La tabla mantiene el estado de ordenación y filtros aplicados.";"- Edición o configuración avanzada del dashboard.
- Visualización de alertas o contadores.";"- Dado que soy líder, cuando accedo a la tabla, entonces veo todas las iniciativas con las columnas especificadas.
- Dado que la tabla tiene más de 50 iniciativas, cuando cambio de página, entonces la tabla se actualiza correctamente.
- Dado que uso diferentes dispositivos, cuando visualizo la tabla, entonces la interfaz es legible y usable."
Visualización y Seguimiento Centralizado de Iniciativas;17_lider_operaciones_filtrar_estado;Como líder del equipo de operaciones, necesito filtrar iniciativas por estado para enfocar la supervisión en estados específicos y detectar posibles retrasos o bloqueos.;Permitir que el líder use un filtro de selección múltiple de estados que actualice la tabla para mostrar solo las iniciativas con los estados seleccionados.;"- El filtro incluye todos los estados presentes en las iniciativas.
- Permite seleccionar uno o varios estados para filtrar la tabla.
- La tabla se actualiza dinámicamente al cambiar el filtro.
- Se puede limpiar el filtro para mostrar todas las iniciativas.
- El filtro impide seleccionar estados inválidos o no existentes.";"- Modificación de estados o configuración avanzada.
- Filtros combinados con otros campos en esta historia.";"- Dado que selecciono estado ""Pendiente"", cuando aplico el filtro, entonces la tabla muestra solo iniciativas pendientes.
- Dado que selecciono múltiples estados, cuando aplico el filtro, entonces la tabla muestra iniciativas que coinciden con cualquiera de los estados.
- Dado que limpio el filtro, cuando no hay estados seleccionados, entonces la tabla muestra todas las iniciativas."
Visualización y Seguimiento Centralizado de Iniciativas;18_lider_operaciones_filtrar_prioridad;Como líder del equipo de operaciones, necesito filtrar iniciativas por prioridad para identificar cuáles requieren atención inmediata según su importancia.;Incluir un filtro de prioridad en el dashboard que permita la selección múltiple, actualizando la tabla para mostrar solo iniciativas con las prioridades seleccionadas.;"- El filtro muestra todas las prioridades disponibles.
- Permite seleccionar una o varias prioridades.
- La tabla se actualiza en tiempo real con la selección.
- Se puede limpiar el filtro para mostrar todas las prioridades.
- No permite seleccionar prioridades inválidas.";"- Edición de prioridades.
- Filtros combinados con otros criterios fuera de prioridad.";"- Dado que filtro por prioridad ""Alta"", cuando aplico el filtro, entonces sólo se muestran iniciativas con prioridad alta.
- Dado que selecciono varias prioridades, cuando aplico el filtro, entonces la tabla muestra iniciativas con cualquiera de ellas.
- Dado que limpio el filtro, cuando no hay selección, entonces la tabla muestra todas las iniciativas."
Visualización y Seguimiento Centralizado de Iniciativas;19_lider_operaciones_ordenar_columnas;Como líder del equipo de operaciones, necesito ordenar las iniciativas por columnas relevantes como fecha límite o prioridad, para facilitar la gestión y toma de decisiones estratégicas.;Habilitar la funcionalidad de ordenar la tabla por columnas haciendo clic en los encabezados, alternando entre orden ascendente y descendente.;"- Cada columna ordenable muestra indicador visual de estado de orden.
- Al hacer clic en encabezados, la tabla se ordena ascendente o descendente.
- La ordenación es persistente en la sesión.
- La ordenación funciona para las columnas fecha límite, prioridad y nombre.
- La ordenación no afecta a otros filtros aplicados.";"- Ordenación combinada con filtros complejos.
- Ordenación fuera de las columnas indicadas.";"- Dado que hago clic en fecha límite, cuando hago clic, entonces la tabla se ordena correctamente por fecha.
- Dado que hago clic de nuevo, cuando hago clic, entonces la tabla invierte el orden.
- Dado que ordeno por prioridad, cuando confirmo, entonces la tabla se actualiza según prioridad."
Visualización y Seguimiento Centralizado de Iniciativas;20_visor_lectura_ver_tabla_iniciativas;Como visor en modo solo lectura, necesito ver todas las iniciativas en una tabla centralizada, para consultar el estado y detalles sin riesgo de modificar información.;Proveer una vista de tabla que muestre todas las iniciativas con columnas relevantes, sin opciones para editar o cambiar datos, asegurando integridad en modo lectura.;"- La tabla muestra todas las iniciativas con columnas: nombre, estado, prioridad, fecha límite y responsable.
- No hay botones o controles para modificar datos.
- La tabla soporta paginación y carga rápida.
- La vista es responsiva y accesible.
- Los datos son consistentes y actualizados al momento de la carga.";"- Edición o actualización de datos.
- Visualización de alertas o contadores.";"- Dado que soy un visor, cuando accedo a la tabla, entonces veo todas las iniciativas sin controles de edición.
- Dado que la tabla tiene más de 50 iniciativas, cuando navego, entonces puedo cambiar páginas.
- Dado que uso un móvil o tablet, cuando visualizo la tabla, entonces la interfaz se adapta correctamente."
Visualización y Seguimiento Centralizado de Iniciativas;21_visor_lectura_filtrar_estado;Como visor en modo solo lectura, necesito filtrar iniciativas por estado para encontrar rápidamente las iniciativas que me interesan sin sobresaturar la vista.;Permitir al visor usar un filtro desplegable de estados para segmentar la tabla y visualizar solo las iniciativas con los estados seleccionados, sin modificar datos.;"- El filtro muestra todos los estados disponibles.
- Permite selección múltiple de estados.
- La tabla se actualiza al aplicar el filtro.
- No hay controles para modificar datos.
- Se puede limpiar el filtro para mostrar todas las iniciativas.";"- Actualización de estados.
- Filtros por otros campos en esta historia.";"- Dado que selecciono estado ""Completado"", cuando aplico el filtro, entonces la tabla muestra solo iniciativas completadas.
- Dado que selecciono varios estados, cuando aplico el filtro, entonces la tabla muestra iniciativas con cualquiera de esos estados.
- Dado que limpio el filtro, cuando no hay estados seleccionados, entonces la tabla muestra todas las iniciativas."
Visualización y Seguimiento Centralizado de Iniciativas;22_visor_lectura_filtrar_prioridad;Como visor en modo solo lectura, necesito filtrar iniciativas por prioridad para enfocar la consulta en iniciativas relevantes según su importancia.;Incluir un filtro de prioridad que permita seleccionar una o varias prioridades, actualizando la tabla para mostrar solo iniciativas con esas prioridades, sin posibilidad de cambio en los datos.;"- El filtro muestra todas las prioridades existentes.
- Permite selección múltiple.
- La tabla se actualiza dinámicamente al aplicar el filtro.
- No permite edición de datos.
- Se puede limpiar el filtro para mostrar todas las prioridades.";"- Modificación de prioridades.
- Filtros combinados con otros en esta historia.";"- Dado que filtro por prioridad ""Media"", cuando aplico el filtro, entonces la tabla muestra solo iniciativas con esa prioridad.
- Dado que selecciono varias prioridades, cuando aplico el filtro, entonces la tabla muestra iniciativas con cualquiera de las seleccionadas.
- Dado que limpio el filtro, cuando no hay selección, entonces la tabla muestra todas las iniciativas."
Visualización y Seguimiento Centralizado de Iniciativas;23_visor_lectura_ordenar_columnas;Como visor en modo solo lectura, necesito ordenar la tabla por columnas como fecha límite o prioridad, para organizar la información de manera que facilite la consulta sin riesgo de modificaciones.;Permitir ordenar la tabla haciendo clic en encabezados de columna, alternando entre orden ascendente y descendente, sin opción de modificar o guardar cambios.;"- Las columnas ordenables tienen indicador visual.
- Al hacer clic, la tabla se ordena ascendente o descendente.
- La ordenación no permite edición de datos.
- La ordenación funciona para fecha límite, prioridad y nombre.
- El estado de ordenación se mantiene durante la sesión.";"- Edición o configuración avanzada.
- Ordenación fuera de las columnas mencionadas.";"- Dado que hago clic en la columna ""Prioridad"", cuando hago clic, entonces la tabla se ordena correctamente.
- Dado que hago clic nuevamente, cuando hago clic, entonces la tabla invierte el orden.
- Dado que visualizo la tabla, cuando aplico ordenación, entonces no hay opciones para modificar datos."
Visualización y Seguimiento Centralizado de Iniciativas;24_error_carga_tabla_iniciativas;Como cualquier usuario con acceso a la visualización de iniciativas, necesito recibir un mensaje de error claro si la tabla no puede cargar las iniciativas, para entender que hay un problema y saber que la información no está disponible temporalmente.;Implementar manejo de errores para la carga de datos en la tabla de iniciativas, mostrando mensajes claros y opciones para reintentar la carga o contactar soporte.;"- Si la tabla no puede cargar datos, se muestra un mensaje de error visible y comprensible.
- El mensaje ofrece opción de reintentar la carga.
- El mensaje incluye contacto o link a soporte técnico.
- La interfaz no se bloquea ni queda en blanco.
- El error es manejado tanto en desktop como en dispositivos móviles.";"- Solución automática del error.
- Manejo de errores en otras funcionalidades fuera de la tabla.";"- Dado que falla la conexión al cargar iniciativas, cuando ingreso al dashboard, entonces veo un mensaje de error con opción para reintentar.
- Dado que hago clic en reintentar, cuando la conexión se restablece, entonces la tabla carga correctamente.
- Dado que el error persiste, cuando veo el mensaje, entonces hay un link o contacto para soporte."
Visualización y Seguimiento Centralizado de Iniciativas;25_miembro_equipo_counter_estado;Como miembro del equipo de operaciones, necesito ver contadores que resumen la cantidad de iniciativas por estado, para entender rápidamente el progreso general y detectar posibles cuellos de botella.;El sistema debe mostrar en el dashboard un componente visual con contadores que indiquen el número de iniciativas agrupadas por cada estado definido, actualizado en tiempo real y accesible desde la vista principal.;"- El dashboard muestra contadores separados para cada estado de iniciativa.
- Los contadores se actualizan automáticamente al cambiar estados de iniciativas.
- Los contadores son visibles sin necesidad de filtros adicionales.
- Los contadores reflejan correctamente el número actual de iniciativas en cada estado.";"- Modificación manual de contadores.
- Configuración avanzada de estados o contadores.
- Visualización de datos históricos de contadores.";"Dado que el miembro del equipo accede al dashboard,
Cuando visualiza la sección de progreso,
Entonces ve contadores numéricos para cada estado de iniciativa correctamente reflejados.

Dado que una iniciativa cambia de estado,
Cuando el cambio se confirma,
Entonces los contadores se actualizan para reflejar el nuevo estado."
Visualización y Seguimiento Centralizado de Iniciativas;26_miembro_equipo_alertas_vencimiento;Como miembro del equipo de operaciones, necesito recibir alertas visuales para iniciativas con fechas de vencimiento próximas, para priorizar acciones y evitar retrasos.;El sistema debe mostrar en una sección de alertas en el dashboard avisos visuales destacados para las iniciativas que tengan fechas de vencimiento próximas según un umbral definido, permitiendo identificar rápidamente prioridades urgentes.;"- Las alertas muestran iniciativas con fechas próximas a vencerse.
- Las alertas contienen nombre, estado y fecha límite claramente visibles.
- Las alertas se actualizan dinámicamente según fechas actuales.
- Las alertas son destacadas visualmente para diferenciarse del resto del contenido.";"- Configuración personalizada de umbrales de alerta.
- Alertas por otros criterios distintos a fechas próximas.
- Notificaciones externas (email, push, etc.).";"Dado que una iniciativa tiene fecha de vencimiento dentro del umbral definido,
Cuando el miembro del equipo accede al dashboard,
Entonces la iniciativa aparece en la sección de alertas con información clara y destacada.

Dado que la fecha de la iniciativa pasa el umbral,
Cuando el usuario actualiza la vista,
Entonces la alerta desaparece o cambia según el estado de la iniciativa."
