Epic;User Story Count;User Story;Description;Acceptance Criteria;Out of Scope;Test Cases
Gestión de Iniciativas mediante Formulario de Registro;11_usuario_guardar_cambios_iniciativa;Como Usuario, necesito guardar los cambios realizados en la edición de una iniciativa para que la información actualizada quede registrada y disponible para todos los usuarios autorizados.;El usuario debe poder confirmar y almacenar las modificaciones realizadas en el formulario de edición, asegurando la persistencia y visibilidad de los datos actualizados en el sistema.;"- Debe existir un botón 'Guardar' claramente visible para confirmar los cambios.
- Al guardar, el sistema valida los datos y muestra mensajes de error si existen inconsistencias.
- Si la guardada es exitosa, se muestra un mensaje de confirmación y se actualizan los datos en la base.
- El usuario es redirigido a la vista de detalle o lista con los datos actualizados.
- En caso de error de red o sistema, se muestra un mensaje de error claro.";"- Edición masiva de iniciativas.
- Eliminación o creación de iniciativas.
- Configuración del sistema.";"- Dado que he modificado campos válidos, cuando presiono guardar, entonces recibo confirmación de éxito y veo los datos actualizados.
- Dado que intento guardar con campos inválidos, cuando presiono guardar, entonces recibo mensajes de error y no se guarda la información.
- Dado un fallo de conexión, cuando intento guardar, entonces aparece un mensaje de error y los datos no se pierden."
Gestión de Iniciativas mediante Formulario de Registro;12_usuario_validacion_tiempo_real_edicion;Como Usuario, necesito recibir validaciones en tiempo real al editar campos como fechas o estado, para evitar errores y garantizar que la información ingresada sea correcta antes de guardar.;El sistema debe validar y alertar sobre errores en los campos editados, como fechas fuera de rango o campos obligatorios vacíos, ayudando al usuario a corregirlos antes de intentar guardar.;"- El formulario muestra mensajes de error o advertencia inmediatamente al detectar datos inválidos.
- Se validan campos obligatorios, formatos de fecha y coherencia de datos.
- Los errores se indican con mensajes visibles y destacados cerca del campo correspondiente.
- El botón guardar queda deshabilitado mientras existan errores.
- La validación funciona tanto en desktop como en dispositivos móviles.";"- Validación de creación de nuevas iniciativas.
- Edición de otros módulos no relacionados.
- Manejo de permisos o roles.";"- Dado que dejo un campo obligatorio vacío, cuando intento avanzar, entonces aparece un mensaje indicando que es obligatorio.
- Dado que ingreso una fecha en formato incorrecto, cuando cambio el campo, entonces se muestra error inmediato.
- Dado que corrijo el error, cuando el campo es válido, entonces el mensaje desaparece y el botón guardar se habilita."
Gestión de Iniciativas mediante Formulario de Registro;13_admin_acceso_form_edicion;Como Administrador, necesito acceder al formulario de edición de una iniciativa específica desde la lista o vista detalle, para modificar sus datos y mantener la información actualizada.;El administrador requiere una forma fácil y directa para abrir el formulario de edición de iniciativas ya registradas, facilitando la gestión avanzada y corrección de datos.;"- El botón o enlace de edición está visible en la lista y detalle de iniciativas.
- Al hacer clic, el formulario de edición se abre con los datos actuales precargados.
- Funciona en dispositivos móviles y desktop.
- Solo usuarios con perfil administrador y permisos pueden utilizar esta función.";"- Eliminación de iniciativas.
- Creación de nuevas iniciativas.
- Configuraciones avanzadas del sistema.";"- Dado que soy Administrador, cuando visualizo la lista de iniciativas, entonces veo el botón/ enlace para editar.
- Dado que hago clic en editar, cuando se abre el formulario, entonces veo los datos actuales.
- Dado que uso un móvil, cuando abro el formulario, entonces la interfaz es responsiva."
Gestión de Iniciativas mediante Formulario de Registro;14_admin_modificacion_campos_iniciativa;Como Administrador, necesito modificar campos como estado, prioridad, fechas o descripción en el formulario de edición, para mantener la base de datos limpia y la información consistente.;El administrador debe poder editar cualquier campo relevante de una iniciativa para garantizar que los datos estén completos, actualizados y correctos, mejorando la gestión y supervisión.;"- Se pueden editar los campos estado, prioridad, fecha límite y descripción.
- El formulario presenta controles adecuados para cada tipo de dato.
- Se incluyen validaciones para evitar datos inválidos o incompletos.
- Existe opción para cancelar cambios antes de guardar.";"- Eliminación de iniciativas.
- Creación de iniciativas.
- Gestión de permisos o configuraciones.";"- Dado que cambio el estado y prioridad, cuando guardo, entonces los valores se actualizan correctamente.
- Dado que ingreso fecha inválida, cuando intento guardar, entonces recibo mensaje de error.
- Dado que modifico la descripción, cuando guardo, entonces se refleja el cambio."
Gestión de Iniciativas mediante Formulario de Registro;15_admin_guardar_cambios_iniciativa;Como Administrador, necesito guardar los cambios realizados en el formulario de edición para que la información actualizada quede reflejada y disponible para todo el equipo.;Permite al administrador confirmar la actualización de una iniciativa y asegurar que las modificaciones queden registradas en el sistema sin pérdida de datos ni inconsistencias.;"- Existe botón 'Guardar' accesible para confirmar cambios.
- Se valida la información antes de guardar.
- Mensajes claros indican éxito o error en la operación.
- Después de guardar, se redirige a la vista de detalle o lista con información actualizada.
- En caso de error de sistema o red, se informa al usuario sin perder datos editados.";"- Eliminación o creación de iniciativas.
- Cambios masivos o configuraciones avanzadas.";"- Dado que modifico datos válidos, cuando guardo, entonces recibo confirmación y veo datos actualizados.
- Dado que intento guardar con errores, cuando confirmo, entonces veo mensajes de error y no se guarda.
- Dado un fallo de conexión, cuando guardo, entonces aparece error y se mantiene la información editada."
Gestión de Iniciativas mediante Formulario de Registro;16_admin_validacion_tiempo_real_edicion;Como Administrador, necesito validaciones en tiempo real al editar iniciativas, para evitar inconsistencias y mantener la calidad de la información en la base de datos.;El sistema debe alertar inmediatamente sobre datos erróneos o faltantes durante la edición, ayudando a prevenir errores antes de guardar los cambios.;"- Validación inmediata de campos obligatorios, formato de fechas y coherencia.
- Mensajes de error visibles junto al campo con problemas.
- Botón de guardar deshabilitado si existen errores.
- Funcionalidad compatible con dispositivos móviles y desktop.";"- Validaciones para creación de iniciativas.
- Eliminación o configuraciones avanzadas.";"- Dado que dejo campos obligatorios vacíos, cuando edito, entonces aparecen mensajes de error.
- Dado que ingreso fechas inválidas, cuando cambio el campo, entonces se muestra alerta.
- Dado que corrijo el error, cuando el campo es válido, entonces desaparece el mensaje y se habilita guardar."
Gestión de Iniciativas mediante Formulario de Registro;17_usuario_error_guardar_iniciativa;Como Usuario, necesito que el sistema me muestre un mensaje de error claro si intento guardar cambios con datos inválidos o incompletos, para corregirlos y evitar inconsistencias.;Cuando el usuario intenta guardar una iniciativa con errores, el sistema debe impedir la acción y mostrar mensajes específicos que ayuden a corregir la información antes de guardar.;"- Si existen campos obligatorios vacíos o datos inválidos, al intentar guardar aparece un mensaje de error.
- Los mensajes indican claramente qué campos tienen problemas y qué tipo de error es.
- El formulario no se cierra ni pierde información tras el intento fallido.
- El usuario puede corregir los errores y volver a intentar guardar sin perder datos.";"- Corrección automática de datos.
- Eliminación o creación de iniciativas.";"- Dado que dejo la fecha límite vacía y presiono guardar, cuando intento guardar, entonces veo un mensaje que indica que la fecha es obligatoria.
- Dado que ingreso texto en un campo de fecha, cuando guardo, entonces recibo error que me indica formato incorrecto.
- Dado que corrijo los errores, cuando guardo, entonces el sistema acepta y confirma la actualización."
Gestión de Iniciativas mediante Formulario de Registro;18_admin_error_guardar_iniciativa;Como Administrador, necesito que el sistema me muestre mensajes de error claros y específicos si intento guardar cambios inválidos, para mantener la integridad y calidad de la información.;El sistema debe impedir guardar datos incorrectos o incompletos y proporcionar retroalimentación precisa para que el administrador pueda corregir la información antes de confirmar los cambios.;"- Mensajes de error aparecen si existen campos vacíos o datos inválidos al intentar guardar.
- Los mensajes son claros, indicando el campo y el tipo de error.
- El formulario conserva la información ingresada para facilitar corrección.
- El botón guardar permanece accesible una vez corregidos los errores.";"- Automatización de corrección de datos.
- Eliminación o creación de iniciativas.";"- Dado que intento guardar sin completar la prioridad, cuando presiono guardar, entonces aparece mensaje indicando que es obligatorio.
- Dado que la fecha límite es anterior a la fecha actual, cuando intento guardar, entonces recibo un mensaje de error.
- Dado que corrijo los errores, cuando guardo, entonces la actualización se realiza exitosamente."
Gestión de Iniciativas mediante Formulario de Registro;19_eliminacion_iniciativa_confirmacion;Como Administrador, necesito un botón de eliminar iniciativa con cuadro de confirmación, para poder eliminar iniciativas obsoletas o irrelevantes del sistema sin riesgo de borrados accidentales.;Este user story se enfoca en proporcionar un botón visible y accesible para eliminar iniciativas, que al ser pulsado muestre un cuadro modal de confirmación con mensaje claro y opciones de cancelar o confirmar la eliminación, asegurando que el proceso sea intencional y controlado.;"- El botón de eliminar debe estar visible solo para administradores.
- Al hacer clic, debe abrirse un modal que confirme la acción.
- El modal debe mostrar el nombre de la iniciativa a eliminar.
- Debe haber opciones para cancelar o confirmar la eliminación.
- Confirmar elimina la iniciativa y la remueve de la lista.
- Cancelar cierra el modal sin eliminar nada.";"- Eliminación masiva de iniciativas.
- Restauración de iniciativas eliminadas.
- Cambios en permisos de usuarios.";"- Dado que soy administrador y estoy en la vista de detalles de una iniciativa,
cuando pulso el botón eliminar,
entonces aparece un modal con confirmación y opciones cancelar y confirmar.
- Dado que el modal está abierto,
cuando pulso cancelar,
entonces el modal se cierra y la iniciativa no se elimina.
- Dado que el modal está abierto,
cuando pulso confirmar,
entonces la iniciativa se elimina del sistema y desaparece de la lista."
Gestión de Iniciativas mediante Formulario de Registro;20_configuracion_avanzada_parametros;Como Administrador, necesito un panel de configuración avanzada con opciones para ajustar parámetros del formulario de iniciativas, para personalizar y optimizar la gestión según necesidades específicas del flujo de trabajo.;Este user story describe la implementación de una interfaz dedicada a configuraciones avanzadas que incluya parámetros como campos obligatorios, formatos de fecha, prioridades permitidas, y opciones para activar o desactivar funcionalidades relacionadas con iniciativas.;"- El panel de configuración avanzada debe ser accesible solo para administradores.
- Debe permitir activar o desactivar campos obligatorios en el formulario.
- Debe permitir configurar formatos válidos para fechas.
- Debe permitir definir prioridades disponibles para iniciativas.
- Los cambios deben guardarse y aplicarse inmediatamente al formulario de registro.
- Debe mostrar mensajes de éxito o error al guardar configuraciones.";"- Configuración de perfiles de usuario.
- Gestión de permisos fuera del ámbito de iniciativas.
- Personalización visual del formulario.";"- Dado que soy administrador y accedo al panel de configuración,
cuando cambio un parámetro y guardo,
entonces el sistema muestra mensaje de éxito y el formulario refleja el cambio.
- Dado que ingreso un valor inválido en un parámetro,
cuando intento guardar,
entonces se muestra mensaje de error y no se aplican cambios."
Gestión de Iniciativas mediante Formulario de Registro;21_gestion_reglas_restricciones;Como Administrador, necesito gestionar reglas y restricciones que afectan la creación y edición de iniciativas, para asegurar consistencia y evitar errores en los datos ingresados por usuarios.;Esta historia abarca la capacidad de definir reglas específicas, como límites en la fecha límite, validaciones personalizadas o condiciones que restrinjan la edición de ciertos campos en función del estado de la iniciativa.;"- El administrador puede definir reglas desde una interfaz clara.
- Las reglas pueden incluir restricciones de fechas, campos editables según estado, y validaciones personalizadas.
- Las reglas se aplican inmediatamente al crear o editar iniciativas.
- El sistema muestra mensajes claros al usuario cuando una regla impide una acción.
- Solo administradores pueden acceder y modificar estas reglas.";"- Automatización completa de flujos de trabajo.
- Gestión de reglas fuera del ámbito de iniciativas.
- Integración con otros sistemas externos.";"- Dado que el administrador define una regla que restringe fechas futuras,
cuando un usuario intenta ingresar una fecha fuera del rango permitido,
entonces el sistema muestra mensaje de error y no permite guardar.
- Dado que una regla impide editar el estado de una iniciativa cerrada,
cuando un usuario intenta hacerlo,
entonces el sistema bloquea el campo y muestra mensaje explicativo."
Gestión de Iniciativas mediante Formulario de Registro;22_error_eliminar_iniciativa_vinculada;Como Administrador, necesito un mensaje de error claro y específico cuando intento eliminar una iniciativa que está vinculada a procesos activos, para evitar eliminar información crítica por error.;Este user story se centra en la gestión de errores durante la eliminación de iniciativas, asegurando que si existen dependencias o procesos activos relacionados, el sistema impida la eliminación y notifique adecuadamente al administrador.;"- Al intentar eliminar una iniciativa vinculada a procesos activos, el sistema bloquea la eliminación.
- Se muestra un mensaje de error claro indicando que la iniciativa no puede eliminarse por dependencias activas.
- El mensaje sugiere revisar los procesos vinculados antes de intentar eliminar.
- La iniciativa permanece visible y accesible en el sistema.
- Solo administradores reciben este mensaje en la acción de eliminar.";"- Automatización para resolver dependencias.
- Eliminación forzada de iniciativas vinculadas.
- Notificaciones a otros usuarios sobre la imposibilidad de eliminar.";"- Dado que una iniciativa está vinculada a procesos activos,
cuando el administrador intenta eliminarla,
entonces aparece un mensaje de error y no se elimina la iniciativa.
- Dado que la iniciativa no tiene vinculaciones,
cuando el administrador elimina la iniciativa,
entonces la eliminación se realiza sin errores."
Visualización y Seguimiento en el Dashboard;23_usuario_visualizar_iniciativas;Como Usuario, necesito visualizar todas las iniciativas registradas en el dashboard centralizado, para tener una visión completa y actualizada de mis proyectos y los asignados.;Permite que el Usuario acceda a un dashboard donde se listan todas las iniciativas asignadas o creadas por él, con información básica visible para cada iniciativa (título, estado, fecha de creación, responsable).;"- El dashboard muestra todas las iniciativas asignadas o creadas por el Usuario.
- Cada iniciativa muestra título, estado (Pendiente, En curso, Completado), y fecha de creación.
- La lista se actualiza en tiempo real o al refrescar.
- No se muestran iniciativas fuera del alcance del Usuario.";"- Creación, edición o eliminación de iniciativas.
- Filtros o segmentaciones avanzadas.
- Visualización para Administradores.";"- Dado que soy Usuario y tengo iniciativas asignadas, cuando accedo al dashboard, entonces veo todas mis iniciativas listadas con título, estado y fecha.
- Dado que no tengo iniciativas asignadas, cuando accedo al dashboard, entonces veo un mensaje indicando que no hay iniciativas disponibles.
- Dado que se crea una nueva iniciativa para mí, cuando refresco el dashboard, entonces la iniciativa aparece en la lista."
Visualización y Seguimiento en el Dashboard;24_administrador_visualizar_iniciativas;Como Administrador, necesito visualizar todas las iniciativas registradas en el dashboard centralizado, para supervisar el estado global de todos los proyectos bajo mi gestión.;Permite que el Administrador acceda a un dashboard donde se listan todas las iniciativas registradas en el sistema, sin restricciones, mostrando información clave para cada iniciativa.;"- El dashboard muestra todas las iniciativas existentes en el sistema.
- Cada iniciativa muestra título, estado, fecha de creación y responsable.
- La lista se actualiza en tiempo real o al refrescar.
- No hay limitaciones en la visibilidad para el Administrador.";"- Modificación o eliminación de iniciativas.
- Filtros o configuraciones avanzadas.
- Visualización limitada a Usuario.";"- Dado que soy Administrador, cuando accedo al dashboard, entonces veo todas las iniciativas con la información completa.
- Dado que se añade una nueva iniciativa, cuando refresco el dashboard, entonces la nueva iniciativa aparece en la lista.
- Dado que no hay iniciativas registradas, cuando accedo al dashboard, entonces veo un mensaje que indica ausencia de iniciativas."
Visualización y Seguimiento en el Dashboard;25_usuario_consultar_contadores_estado;Como Usuario, necesito consultar los contadores que resumen la cantidad de iniciativas por estado (Pendiente, En curso, Completado), para entender rápidamente el avance general de mis proyectos.;En el dashboard, el Usuario visualiza contadores numéricos que indican la cantidad de iniciativas en cada estado, permitiéndole evaluar el progreso sin revisar cada iniciativa individualmente.;"- El dashboard muestra contadores para cada estado: Pendiente, En curso, Completado.
- Los contadores corresponden exclusivamente a las iniciativas del Usuario.
- Los contadores se actualizan automáticamente al cambiar estados o añadir iniciativas.
- Los contadores están visibles en una sección destacada del dashboard.";"- Filtros avanzados para modificar los contadores.
- Contadores para estados adicionales o personalizados.
- Acciones sobre las iniciativas desde los contadores.";"- Dado que tengo 3 iniciativas Pendientes, 2 En curso, y 1 Completada, cuando accedo al dashboard, entonces veo contadores con esos valores.
- Dado que cambio el estado de una iniciativa a Completado, cuando el dashboard se actualiza, entonces el contador de Completado incrementa en uno y el de estado anterior decrementa.
- Dado que no tengo iniciativas, cuando accedo al dashboard, entonces los contadores muestran cero en todos los estados."
Visualización y Seguimiento en el Dashboard;26_administrador_consultar_contadores_estado;Como Administrador, necesito consultar los contadores que resumen la cantidad de iniciativas por estado (Pendiente, En curso, Completado), para evaluar el estado global de las iniciativas de forma rápida y estratégica.;El Administrador visualiza contadores en el dashboard que reflejan la cantidad total de iniciativas en cada estado en todo el sistema, permitiéndole detectar rápidamente cuellos de botella o avances.;"- El dashboard muestra contadores para cada estado: Pendiente, En curso, Completado.
- Los contadores reflejan el total de iniciativas en el sistema.
- Los contadores se actualizan en tiempo real o al refrescar el dashboard.
- Los contadores están ubicados en un área visible y diferenciada.";"- Modificación o filtrado de las iniciativas desde los contadores.
- Contadores para estados fuera de los definidos.";"- Dado que existen 10 iniciativas Pendientes, 5 En curso y 3 Completadas, cuando el Administrador accede al dashboard, entonces los contadores reflejan esos números.
- Dado que se elimina una iniciativa En curso, cuando el dashboard se actualiza, entonces el contador de En curso disminuye en uno.
- Dado que no hay iniciativas, cuando el Administrador accede al dashboard, entonces los contadores muestran cero en todos los estados."
